gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,total_score,performance
male,group C,some high school,standard,none,51,52,44,147,At Risk
female,group B,associate's degree,free/reduced,none,53,71,67,191,Average
female,group D,high school,free/reduced,none,49,57,52,158,Average
female,group B,associate's degree,standard,none,73,76,80,229,High Performer
male,group B,bachelor's degree,standard,none,66,60,57,183,Average
male,group D,bachelor's degree,standard,completed,67,61,68,196,Average
female,group C,associate's degree,free/reduced,completed,68,67,69,204,Average
female,group C,bachelor's degree,standard,completed,59,64,75,198,Average
male,group C,high school,standard,none,71,66,65,202,Average
female,group D,master's degree,standard,completed,77,82,91,250,High Performer
male,group C,associate's degree,standard,none,83,72,78,233,High Performer
male,group B,bachelor's degree,standard,none,63,71,69,203,Average
female,group D,associate's degree,free/reduced,none,56,65,63,184,Average
female,group C,high school,free/reduced,completed,67,79,84,230,High Performer
female,group E,high school,standard,none,75,86,79,240,High Performer
female,group C,some college,standard,none,71,81,80,232,High Performer
female,group C,some high school,free/reduced,none,43,53,53,149,At Risk
female,group C,high school,free/reduced,none,41,46,43,130,At Risk
female,group C,some college,standard,none,82,90,94,266,High Performer
male,group C,some college,standard,none,61,61,62,184,Average
male,group A,some college,free/reduced,none,28,23,19,70,At Risk
male,group C,associate's degree,standard,completed,82,75,77,234,High Performer
female,group B,some high school,standard,none,41,55,51,147,At Risk
male,group C,high school,standard,none,71,60,61,192,Average
male,group C,associate's degree,standard,none,47,37,35,119,At Risk
male,group E,associate's degree,standard,completed,62,56,53,171,Average
male,group B,associate's degree,standard,none,90,78,81,249,High Performer
female,group C,bachelor's degree,standard,none,83,93,95,271,High Performer
female,group B,some college,free/reduced,none,61,68,66,195,Average
male,group D,some high school,standard,completed,76,70,69,215,Average
male,group C,associate's degree,standard,none,49,51,43,143,At Risk
female,group B,some high school,free/reduced,none,24,38,27,89,At Risk
female,group D,some high school,free/reduced,completed,35,55,60,150,At Risk
male,group C,high school,free/reduced,none,58,61,52,171,Average
female,group C,high school,standard,none,61,73,63,197,Average
female,group B,high school,standard,completed,69,76,74,219,Average
male,group D,associate's degree,standard,completed,67,72,67,206,Average
male,group D,some college,standard,none,79,73,67,219,Average
female,group C,high school,standard,none,72,80,75,227,High Performer
male,group B,some college,standard,none,62,61,57,180,Average
female,group C,bachelor's degree,standard,completed,77,94,95,266,High Performer
male,group D,high school,free/reduced,none,75,74,66,215,Average
male,group E,associate's degree,standard,none,87,74,76,237,High Performer
female,group B,bachelor's degree,standard,none,52,65,69,186,Average
male,group E,some college,standard,none,66,57,52,175,Average
female,group C,some college,standard,completed,63,78,80,221,Average
female,group C,associate's degree,standard,none,46,58,57,161,Average
female,group C,some college,standard,none,59,71,70,200,Average
female,group B,bachelor's degree,standard,none,61,72,70,203,Average
male,group A,associate's degree,standard,none,63,61,61,185,Average
female,group C,some college,free/reduced,completed,42,66,69,177,Average
male,group D,some college,free/reduced,none,59,62,61,182,Average
female,group D,some college,standard,none,80,90,89,259,High Performer
female,group B,high school,standard,none,58,62,59,179,Average
male,group B,some high school,standard,completed,85,84,78,247,High Performer
female,group C,some college,standard,none,52,58,58,168,Average
female,group D,some high school,free/reduced,none,27,34,32,93,At Risk
male,group C,some college,standard,none,59,60,58,177,Average
male,group A,bachelor's degree,free/reduced,completed,49,58,60,167,Average
male,group C,high school,standard,completed,69,58,53,180,Average
male,group C,bachelor's degree,free/reduced,none,61,66,61,188,Average
female,group A,some high school,free/reduced,none,44,64,58,166,Average
female,group D,some high school,standard,none,73,84,85,242,High Performer
male,group E,some college,standard,none,84,77,71,232,High Performer
female,group C,some college,free/reduced,completed,45,73,70,188,Average
male,group D,some high school,standard,none,74,74,72,220,Average
female,group D,some college,standard,completed,82,97,96,275,High Performer
female,group D,bachelor's degree,standard,none,59,70,73,202,Average
male,group E,associate's degree,free/reduced,none,46,43,41,130,At Risk
female,group D,some high school,standard,none,80,90,82,252,High Performer
female,group D,master's degree,free/reduced,completed,85,95,100,280,High Performer
female,group A,some high school,standard,none,71,83,77,231,High Performer
male,group A,bachelor's degree,standard,none,66,64,62,192,Average
female,group B,associate's degree,standard,none,80,86,83,249,High Performer
male,group C,associate's degree,standard,completed,87,100,95,282,High Performer
male,group C,master's degree,free/reduced,none,79,81,71,231,High Performer
female,group E,some high school,free/reduced,none,38,49,45,132,At Risk
female,group A,some high school,free/reduced,none,38,43,43,124,At Risk
female,group E,some college,standard,none,67,76,75,218,Average
female,group E,bachelor's degree,standard,none,64,73,70,207,Average
female,group C,associate's degree,free/reduced,none,57,78,67,202,Average
female,group D,high school,standard,none,62,64,64,190,Average
male,group D,master's degree,standard,none,73,70,75,218,Average
male,group E,some high school,free/reduced,completed,73,67,59,199,Average
female,group D,some college,standard,none,77,68,77,222,Average
male,group E,some college,standard,none,76,67,67,210,Average
male,group C,associate's degree,standard,completed,57,54,56,167,Average
female,group C,some high school,standard,completed,65,74,77,216,Average
male,group A,high school,free/reduced,none,48,45,41,134,At Risk
female,group B,high school,free/reduced,none,50,67,63,180,Average
female,group C,associate's degree,standard,none,85,89,95,269,High Performer
male,group B,some high school,standard,none,74,63,57,194,Average
male,group D,some high school,standard,none,60,59,54,173,Average
female,group C,some high school,standard,completed,59,54,67,180,Average
male,group A,some college,standard,none,53,43,43,139,At Risk
female,group A,some college,free/reduced,none,49,65,55,169,Average
female,group D,high school,standard,completed,88,99,100,287,High Performer
female,group C,high school,standard,none,54,59,62,175,Average
female,group C,some high school,standard,none,63,73,68,204,Average
male,group B,associate's degree,standard,completed,65,65,63,193,Average
female,group B,associate's degree,standard,none,82,80,77,239,High Performer
female,group D,high school,free/reduced,completed,52,57,56,165,Average
male,group D,associate's degree,standard,completed,87,84,85,256,High Performer
female,group D,master's degree,standard,completed,70,71,74,215,Average
male,group E,some college,standard,completed,84,83,78,245,High Performer
male,group D,associate's degree,standard,none,71,66,60,197,Average
male,group B,some high school,standard,completed,63,67,67,197,Average
female,group C,bachelor's degree,free/reduced,completed,51,72,79,202,Average
male,group E,high school,standard,none,84,73,69,226,High Performer
male,group C,bachelor's degree,standard,completed,71,74,68,213,Average
male,group C,associate's degree,standard,none,74,73,67,214,Average
male,group D,some college,standard,none,68,59,62,189,Average
male,group E,high school,free/reduced,completed,57,56,54,167,Average
female,group C,associate's degree,free/reduced,completed,82,93,93,268,High Performer
female,group D,high school,standard,completed,57,58,64,179,Average
female,group D,master's degree,free/reduced,completed,47,58,67,172,Average
female,group A,some high school,standard,completed,59,85,80,224,Average
male,group B,some college,free/reduced,none,41,39,34,114,At Risk
female,group C,some college,free/reduced,none,62,67,62,191,Average
male,group C,bachelor's degree,standard,none,86,83,86,255,High Performer
male,group C,some high school,free/reduced,none,69,71,65,205,Average
male,group A,some high school,free/reduced,none,65,59,53,177,Average
male,group C,some high school,free/reduced,none,68,63,54,185,Average
male,group C,associate's degree,free/reduced,none,64,66,59,189,Average
female,group C,high school,standard,none,61,72,70,203,Average
male,group C,high school,standard,none,61,56,55,172,Average
female,group A,some high school,free/reduced,none,47,59,50,156,Average
male,group C,some high school,standard,none,73,66,66,205,Average
male,group C,some college,free/reduced,completed,50,48,53,151,Average
male,group D,associate's degree,standard,none,75,68,64,207,Average
male,group D,associate's degree,free/reduced,none,75,66,73,214,Average
male,group C,high school,standard,none,70,56,51,177,Average
male,group D,some high school,standard,completed,89,88,82,259,High Performer
female,group C,some college,standard,completed,67,81,79,227,High Performer
female,group D,high school,standard,none,78,81,80,239,High Performer
female,group A,some high school,free/reduced,none,59,73,69,201,Average
female,group B,associate's degree,standard,none,73,83,76,232,High Performer
male,group A,some high school,free/reduced,none,79,82,73,234,High Performer
female,group C,some high school,standard,completed,67,74,77,218,Average
male,group D,some college,free/reduced,none,69,66,60,195,Average
male,group C,high school,standard,completed,86,81,80,247,High Performer
male,group B,high school,standard,none,47,46,42,135,At Risk
male,group B,associate's degree,standard,none,81,73,72,226,High Performer
female,group C,some college,free/reduced,completed,64,85,85,234,High Performer
female,group E,some college,standard,none,100,92,97,289,High Performer
female,group C,associate's degree,free/reduced,none,65,77,74,216,Average
male,group C,some college,free/reduced,none,65,58,49,172,Average
female,group C,associate's degree,free/reduced,none,53,61,62,176,Average
male,group C,bachelor's degree,free/reduced,none,37,56,47,140,At Risk
female,group D,bachelor's degree,standard,none,79,89,89,257,High Performer
male,group D,associate's degree,free/reduced,none,53,54,48,155,Average
female,group E,bachelor's degree,standard,none,100,100,100,300,High Performer
male,group B,high school,standard,completed,72,65,68,205,Average
male,group C,bachelor's degree,free/reduced,none,53,58,55,166,Average
male,group B,some college,free/reduced,none,54,54,45,153,Average
female,group E,some college,standard,none,71,70,76,217,Average
female,group C,some college,free/reduced,none,77,90,91,258,High Performer
male,group A,bachelor's degree,standard,completed,75,58,62,195,Average
female,group C,some college,standard,none,84,87,91,262,High Performer
female,group D,associate's degree,free/reduced,none,26,31,38,95,At Risk
male,group A,high school,free/reduced,completed,72,67,65,204,Average
female,group A,high school,free/reduced,completed,77,88,85,250,High Performer
male,group C,some college,standard,none,91,74,76,241,High Performer
female,group C,associate's degree,standard,completed,83,85,90,258,High Performer
female,group C,high school,standard,none,63,69,74,206,Average
female,group C,associate's degree,standard,completed,68,86,84,238,High Performer
female,group D,some high school,standard,none,59,67,61,187,Average
female,group B,associate's degree,standard,completed,90,90,91,271,High Performer
female,group D,bachelor's degree,standard,completed,71,76,83,230,High Performer
male,group E,bachelor's degree,standard,completed,76,62,66,204,Average
male,group D,associate's degree,standard,none,80,68,72,220,Average
female,group D,master's degree,standard,none,55,64,70,189,Average
male,group E,associate's degree,standard,none,76,71,67,214,Average
male,group B,high school,standard,completed,73,71,68,212,Average
female,group D,associate's degree,free/reduced,none,52,59,56,167,Average
male,group C,some college,free/reduced,none,68,68,61,197,Average
male,group A,high school,standard,none,59,52,46,157,Average
female,group B,associate's degree,standard,none,49,52,54,155,Average
male,group C,high school,standard,none,70,74,71,215,Average
male,group D,some college,free/reduced,none,61,47,56,164,Average
female,group C,associate's degree,free/reduced,none,60,75,74,209,Average
male,group B,some high school,standard,completed,64,53,57,174,Average
male,group A,associate's degree,free/reduced,completed,79,82,82,243,High Performer
female,group A,associate's degree,free/reduced,none,65,85,76,226,High Performer
female,group C,associate's degree,standard,none,64,64,70,198,Average
female,group C,some college,standard,none,83,83,90,256,High Performer
female,group C,bachelor's degree,standard,none,81,88,90,259,High Performer
female,group B,high school,standard,none,54,64,68,186,Average
male,group D,high school,standard,completed,68,64,66,198,Average
female,group C,some college,standard,none,54,48,52,154,Average
female,group D,some college,free/reduced,completed,59,78,76,213,Average
female,group B,some high school,standard,none,66,69,68,203,Average
